Group,Sample,IgG1 D614G Spike Erica Hexapro,IgG1 N501Y d69-70 Spike Erica Hexap,IgG1 E484K Spike Erica Hexap,IgG1 K417N Spike Erica Hexap,IgG1 WT RBD Florian,IgG1 B.1.1.7 RBD Florian,IgG1 E484K RBD Florian,IgG1 B.1.351 RBD Florian,IgG2 D614G Spike Erica Hexapro,IgG2 N501Y d69-70 Spike Erica Hexap,IgG2 E484K Spike Erica Hexap,IgG2 K417N Spike Erica Hexap,IgG2 WT RBD Florian,IgG2 B.1.1.7 RBD Florian,IgG2 E484K RBD Florian,IgG2 B.1.351 RBD Florian,IgG3 D614G Spike Erica Hexapro,IgG3 N501Y d69-70 Spike Erica Hexap,IgG3 E484K Spike Erica Hexap,IgG3 K417N Spike Erica Hexap,IgG3 WT RBD Florian,IgG3 B.1.1.7 RBD Florian,IgG3 E484K RBD Florian,IgG3 B.1.351 RBD Florian,IgG4 D614G Spike Erica Hexapro,IgG4 N501Y d69-70 Spike Erica Hexap,IgG4 E484K Spike Erica Hexap,IgG4 K417N Spike Erica Hexap,IgG4 WT RBD Florian,IgG4 B.1.1.7 RBD Florian,IgG4 E484K RBD Florian,IgG4 B.1.351 RBD Florian,IgA D614G Spike Erica Hexapro,IgA N501Y d69-70 Spike Erica Hexap,IgA E484K Spike Erica Hexap,IgA K417N Spike Erica Hexap,IgA WT RBD Florian,IgA B.1.1.7 RBD Florian,IgA E484K RBD Florian,IgA B.1.351 RBD Florian,IgM D614G Spike Erica Hexapro,IgM N501Y d69-70 Spike Erica Hexap,IgM E484K Spike Erica Hexap,IgM K417N Spike Erica Hexap,IgM WT RBD Florian,IgM B.1.1.7 RBD Florian,IgM E484K RBD Florian,IgM B.1.351 RBD Florian,FcgR2A-1 D614G Spike Erica Hexapro,FcgR2A-1 N501Y d69-70 Spike Erica Hexap,FcgR2A-1 E484K Spike Erica Hexap,FcgR2A-1 K417N Spike Erica Hexap,FcgR2A-1 WT RBD Florian,FcgR2A-1 B.1.1.7 RBD Florian,FcgR2A-1 E484K RBD Florian,FcgR2A-1 B.1.351 RBD Florian,FcgR2A-2 D614G Spike Erica Hexapro,FcgR2A-2 N501Y d69-70 Spike Erica Hexap,FcgR2A-2 E484K Spike Erica Hexap,FcgR2A-2 K417N Spike Erica Hexap,FcgR2A-2 WT RBD Florian,FcgR2A-2 B.1.1.7 RBD Florian,FcgR2A-2 E484K RBD Florian,FcgR2A-2 B.1.351 RBD Florian,FcgR2A-3 D614G Spike Erica Hexapro,FcgR2A-3 N501Y d69-70 Spike Erica Hexap,FcgR2A-3 E484K Spike Erica Hexap,FcgR2A-3 K417N Spike Erica Hexap,FcgR2A-3 WT RBD Florian,FcgR2A-3 B.1.1.7 RBD Florian,FcgR2A-3 E484K RBD Florian,FcgR2A-3 B.1.351 RBD Florian,FcgR2A-4 D614G Spike Erica Hexapro,FcgR2A-4 N501Y d69-70 Spike Erica Hexap,FcgR2A-4 E484K Spike Erica Hexap,FcgR2A-4 K417N Spike Erica Hexap,FcgR2A-4 WT RBD Florian,FcgR2A-4 B.1.1.7 RBD Florian,FcgR2A-4 E484K RBD Florian,FcgR2A-4 B.1.351 RBD Florian,FcgR3A D614G Spike Erica Hexapro,FcgR3A N501Y d69-70 Spike Erica Hexap,FcgR3A E484K Spike Erica Hexap,FcgR3A K417N Spike Erica Hexap,FcgR3A WT RBD Florian,FcgR3A B.1.1.7 RBD Florian,FcgR3A E484K RBD Florian,FcgR3A B.1.351 RBD Florian,ADCD D614G Hexapro Spike Erica,ADCD N501Y Hexapro Spike Erica,ADCD E484K Hexapro Spike Erica,ADCD B.1.1.7 Hexapro Spike,ADCD WT RBD florian,ADCD N501Y RBD Florian,ADCD E484K Variant RBD Florian,ADCD SA Variant RBD Florian,ADCP D614G Hexapro Spike Erica,ADCP N501Y Hexapro Spike Erica,ADCP E484K Hexapro Spike Erica,ADCP B.1.1.7 Hexapro Spike,ADCP WT RBD florian,ADCP N501Y RBD Florian,ADCP E484K Variant RBD Florian,ADCP SA Variant RBD Florian,ADNP D614G Hexapro Spike Erica,ADNP N501Y Hexapro Spike Erica,ADNP E484K Hexapro Spike Erica,ADNP B.1.1.7 Hexapro Spike,ADNP WT RBD florian,ADNP N501Y RBD Florian,ADNP E484K Variant RBD Florian,ADNP SA Variant RBD Florian
Group I,15-115,0.447168478,0.43319405,0.477661966,0.488930021,0.450628864,0.365442763,0.076900557,0.372525184,0.686134791,0.746685407,0.759381676,0.74033298,0.699393944,0.576813534,0.36927782,0.594649473,0.635131977,0.761644037,0.713420072,0.700111811,0.617012555,0.574326271,0.654021136,0.854368297,0.6271724,0.772376911,0.748248552,0.783026997,0.566239472,0.693799965,0.749091326,0.831018293,0.521626524,0.638419121,0.763395595,0.637350159,0.546132599,0.486039818,0.550218473,0.736876493,-1.717798035,-1.615539684,-0.608235798,-1.243030606,-0.255757276,-0.046340686,-0.239113226,-0.937136632,0.383128214,0.356651089,0.464678671,0.473347526,0.394194891,0.270736937,-0.320027427,0.327460064,0.512614834,0.493421851,0.566239388,0.625176156,0.458651292,0.454123875,-0.273249724,0.262179416,0.347725816,0.19506345,-0.078571618,0.24889112,0.228983706,-0.043185024,0.043323438,-0.055727022,0.54556191,0.434149376,0.513830752,0.602119868,0.552917594,0.432031092,-0.363972837,0.422709647,0.540358534,0.491857631,0.522565071,0.60843228,0.42153146,0.440123123,-0.02473475,0.52426757,0.788560366,1.04566341,0.544214096,0.362311769,0.596000788,0.417180783,1.17003393,0.381472718,-0.990796328,0.450119004,-0.00500818,0.489021687,0.200531484,-0.556534113,-1.718107691,-0.559030162,-0.805655041,-0.295379897,-0.60039785,-0.367413136,-0.704508111,-0.522231272,-0.825661103,-0.772094739
Group I,15-117,0.721512199,0.88258821,1.020403057,0.83176193,0.764212294,0.892109253,1.598504784,1.567962244,0.660787091,0.929616638,1.053026995,0.868596671,0.768079575,0.778877051,1.440258792,1.180216563,0.818093082,1.022698198,1.10325901,0.910856595,0.755336941,0.908159819,1.278809454,1.138024085,0.769449993,0.944840374,1.100926409,1.013975939,0.779171803,0.888717115,1.469878599,1.233443945,0.768854108,1.06168651,1.136570453,0.966704416,0.828944861,0.950214979,1.417715079,1.310976477,-2.783662924,-1.269851512,-0.626637269,-1.68918835,-1.806663299,-2.233779461,-1.55810449,-1.606607611,0.887341538,1.246696954,1.417180878,1.236728247,1.025754742,1.263248006,1.312265523,1.9392706,0.846558579,1.264374335,1.369826692,1.183884929,1.014476517,1.299291529,2.061322574,1.92963201,1.019688749,1.534737571,1.857469608,1.474673694,1.262302049,1.52520638,1.518819737,2.621291238,0.825797844,1.157123293,1.334843101,1.130008599,0.985367528,1.220072817,2.213693389,1.910199656,0.847742553,1.130018004,1.217468027,1.055300279,1.048740708,1.157902821,2.01409374,1.733850669,0.668349449,1.116845767,0.546959539,2.401759361,1.820109755,1.955332803,-0.117529387,-0.394380624,2.645713029,2.451042373,2.460897764,2.725042125,2.05735154,1.833104239,0.565030478,-0.123336717,1.600534632,1.68604538,2.578312853,2.645287208,1.55875184,2.110820852,-0.737339966,-0.754007852
Group I,15-131,0.595091129,0.649242964,0.758293706,0.676885627,0.643478362,0.691497454,0.839107148,0.94053353,0.687321917,0.758779476,0.892745929,0.768627213,0.550384368,0.628717024,0.977026265,0.684795015,0.5165924,0.569183325,0.698673988,0.565659658,0.456834178,0.506466595,0.960150987,0.485170238,0.690843838,0.779036225,0.853262876,0.769070832,0.616855151,0.636902931,0.914636625,0.650484442,0.703157116,0.778263066,0.883709834,0.755652824,0.59613922,0.665992465,1.047450849,0.761497918,-0.80555823,0.722906919,0.751582834,0.320900807,0.945155417,1.254628492,1.247753924,1.532311994,0.642685572,0.645426162,0.526622578,0.747589192,0.69102473,0.854144461,0.55878547,0.686815195,0.677344951,0.637785608,0.556849972,0.614315162,0.613836631,0.647734311,-0.139324057,0.37808096,0.654749029,0.750921184,0.56273712,0.469102835,0.655271138,0.731303097,0.738149112,0.147342973,0.579044657,0.770932666,0.681650705,0.688358112,0.605979102,0.66548641,0.309648366,0.582366288,0.565602251,0.561305254,0.638058108,0.637466679,0.68834954,0.73158656,0.125582884,0.870838148,0.380530831,-0.104261743,0.064716223,0.730595653,0.216388151,0.308811909,-0.452728563,-1.074383941,-0.271107515,0.099187041,-0.184165899,0.596450233,-0.160380053,-0.663716412,-1.830398704,-1.611572788,0.098338673,-0.075224506,0.428909694,0.298912337,0.051824852,0.250760693,-0.047236808,-0.266993082
Group I,15-072,0.705770472,0.824551614,0.889415461,0.783453594,0.774025199,0.90263865,1.560221275,1.056271946,0.71676086,0.796539741,0.90865322,0.780233348,0.675209253,0.681011624,1.407520802,1.027332135,0.740228178,0.80913938,0.888307277,0.858688014,0.667177837,0.742392369,1.512526248,1.144196708,0.68636596,0.85201491,0.90110445,0.689765604,0.704053981,0.753080443,1.519522005,1.137664675,0.667186833,0.663376819,0.837350655,0.601425577,0.612862355,0.756131098,1.371316579,1.033267228,-0.768206952,0.960459601,1.137660123,0.486459368,0.857640972,1.375230019,0.996047618,1.35613112,0.748910216,0.944878128,0.979730357,0.878410944,0.902706007,1.051707142,0.555287006,0.438883735,0.766707134,0.913135586,0.980618738,0.925163843,0.919183711,1.155436246,0.929009737,0.134080719,0.85837292,1.05181464,0.797660763,1.057791881,1.105792689,1.357184239,0.347460609,0.113571823,0.688464345,0.83529167,0.952861355,0.79991964,0.815476834,0.954163263,0.657376538,0.644242629,0.729162212,0.883898873,0.919494812,0.811756272,0.898215856,1.030800224,0.936396602,0.710252452,0.496770516,1.516333075,1.516402849,0.524930103,0.523356536,0.217107218,-0.059346384,-0.060812833,0.552554324,0.869958414,0.852309748,1.047008755,0.33789571,0.834536144,-0.216689651,-0.823443522,-0.393153426,-0.63190014,0.1112421,0.318328663,-0.183720665,-0.235591313,-0.593060962,-0.685536067
Group I,15-084,0.720377672,0.879934482,1.002435248,0.82820765,0.747429776,0.878243283,1.890139374,1.642648871,0.651760671,0.83986619,0.941040773,0.765661484,0.680906118,0.750550197,1.69076582,1.553606025,0.716459627,0.962603354,1.074940052,0.858414093,0.772552994,0.750480802,1.487074427,1.699255096,0.649607986,0.779245888,0.952763833,0.551688557,0.660243826,0.654853841,1.33996775,1.388999189,0.606124736,0.776299624,0.848668927,0.725501716,0.589195347,0.720532233,1.501761694,1.523812393,-1.488744933,-0.808398541,-0.754354925,-1.36443918,-0.707811647,0.563004286,1.687555049,0.689086805,0.880012827,1.245968022,1.446694863,1.173457207,1.004926589,1.227801274,2.689022751,2.142018262,0.874058586,1.22239069,1.468926612,1.171414959,1.066100793,1.251204803,2.682187153,2.30987502,0.970871561,1.621795749,1.915523443,1.588324214,1.241889343,1.456627239,2.264362578,2.411844804,0.82151951,1.075026914,1.238230532,0.962588086,0.973608096,1.158776929,2.526156117,2.107833886,0.887820107,1.078822685,1.169831351,0.988544641,1.010834808,1.005009271,1.980078894,1.853029023,2.756825375,1.408278531,1.966728252,1.676520786,2.874203052,3.593659312,1.171778385,1.253845054,2.03839276,2.397759618,2.600757736,1.4977505,1.400260399,1.06800352,1.329414524,0.168302922,2.477879493,2.121005392,1.612085904,2.285651365,2.528275399,1.375188497,0.555506361,1.039208291
Group II,15-139,0.688002583,0.844616743,0.901243371,0.770806762,0.737141734,0.821287186,1.632756285,1.493089814,0.596230124,0.726433963,0.68399372,0.699903397,0.561907029,0.722859841,1.14937668,0.975565277,0.73079981,0.854621684,0.965897725,0.894580518,0.71488164,0.78670488,1.359597408,1.163505416,0.659558762,0.901246989,0.897762059,0.83981155,0.6299447,0.759171151,1.187244004,1.165003041,0.700951892,0.811141747,0.906266172,0.76054683,0.700196002,0.7510862,1.229671373,1.255766915,0.589877758,0.243607775,0.472020496,-0.037600402,-0.543577905,-0.738408424,0.017345623,0.242020158,0.745537319,1.093766913,1.357914707,1.067147242,0.911898807,1.085447556,2.372525789,1.787818347,0.770432707,1.040431957,1.268624602,1.036782979,0.891950672,0.978032331,1.933027543,1.943741292,0.887111432,1.322668289,1.547827064,1.334982418,1.07344665,1.252119969,1.388755458,1.981383037,0.678709873,0.834293859,1.100566121,0.870582212,0.821910804,0.845467374,1.712984592,1.533400073,0.749899493,0.88508834,1.129506262,0.911036204,0.899323167,0.949783782,2.149895849,1.88082529,0.817056395,1.337419723,0.590586609,0.208940538,0.799798768,0.47422564,-0.482929778,-0.234234178,0.485340026,0.889294726,0.69774332,0.467400653,0.518692305,0.258940528,0.103503487,-0.957029375,0.070788376,-0.147046251,0.812515899,0.461782083,-0.302465126,0.278462544,-0.342738174,-0.511597782
Group II,15-143,0.565142414,0.638602205,0.745827671,0.62905921,0.574387851,0.639122215,0.806166226,0.828884261,0.523856641,0.590494165,0.724114628,0.572281101,0.487588699,0.598203574,0.894328047,0.853511521,0.442185072,0.608603109,0.6357862,0.630131133,0.406253529,0.532133518,0.957429304,0.58037292,0.585868194,0.630394164,0.786979341,0.583750774,0.561818066,0.664542229,1.006974817,0.913538471,0.616162167,0.725850569,0.830920621,0.734819,0.620165906,0.645778023,0.988114372,0.959054581,0.584350453,1.339881643,1.344963516,1.185167978,0.867871741,0.496036108,0.85667176,0.784602506,0.665050174,0.796339522,0.749630973,0.721098546,0.643127117,0.505890603,0.291587692,0.705485672,0.641433845,0.776952529,0.877903558,0.807949423,0.660811921,0.602863224,0.612024366,0.629636361,0.639029458,0.592303116,0.890607025,0.755938939,0.519652005,0.343526962,0.02805632,-0.044997251,0.60938769,0.63371986,0.61697793,0.663066059,0.61259746,0.483750079,0.54073992,0.587062706,0.559512486,0.631083485,0.763675327,0.644409816,0.520052069,0.521636967,0.38605607,0.771025942,0.155459284,-0.303147856,1.367688074,0.256750309,0.845100234,0.329865884,0.191757719,1.596901415,0.377681154,0.454812912,0.12384808,0.122874801,0.112236997,0.769617048,0.050269671,-1.276609489,0.421670595,-0.046628754,0.327061341,0.558130787,0.106041697,0.187427194,-0.303586254,-0.402963078
Group II,15-145,0.560493097,0.734404494,0.776377331,0.691012821,0.48770702,0.513317112,0.245689853,0.639527348,0.465463069,0.67223285,0.778438738,0.680352738,0.30699625,0.419901296,0.119593249,0.177378807,0.481538547,0.616558,0.797396944,0.651785446,0.299653855,0.483389891,0.173356576,0.311882075,0.537834109,0.777258394,0.840777018,0.799557521,0.368322852,0.577195168,0.202986418,0.372478505,0.497088285,0.798731349,0.795816874,0.803038299,0.314715486,0.421504455,0.282168334,0.378801767,0.225328823,1.051403668,1.236482261,0.938024677,1.221622615,0.96390027,0.514054374,0.737531728,0.748994841,0.943518113,1.017775157,0.927765623,0.7991658,0.763526702,0.205336122,0.584681617,0.748372318,1.06759927,1.093299669,0.977326409,0.826151018,0.902579797,0.401782815,0.500699614,0.842874699,1.171076957,1.105319963,1.180204248,0.753507983,0.702842487,1.27097089,0.1072835,0.679293617,0.97580104,1.068925084,0.862848236,0.691972388,0.810563241,0.255382726,0.524498685,0.714624108,0.880240038,0.893166548,0.797138332,0.732612696,0.815758942,0.356850464,0.621481311,1.144591701,1.608425211,1.033934087,0.07555578,0.825362836,0.773695794,2.97570129,1.844379992,0.531673313,0.605724492,0.578169475,0.575831028,-0.080896544,0.012247138,-0.294684229,-0.589116605,0.204518878,-0.517014983,0.301578191,0.025135557,0.344439847,0.140351327,0.104991151,-0.127315219
Group II,15-086,0.667944478,0.78526065,0.784101201,0.710328085,0.72840939,0.83821493,1.513642591,1.240299999,0.686914878,0.874753498,0.865502953,0.825857868,0.505840165,0.732187692,1.425083966,1.210402819,0.613626143,0.829067122,0.867608478,0.680472647,0.540891218,0.782866547,1.354026638,1.263536296,0.679414179,0.713228568,0.874808712,0.823617004,0.598239619,0.784201557,1.49274023,1.16558509,0.802874938,0.922018411,1.025258929,0.858382381,0.675427116,0.901008423,1.538575004,1.20030743,-0.199457316,1.054648266,0.756204383,0.804214195,1.891297282,1.128830153,-0.747746529,-0.739130244,0.894273044,1.269219015,1.383248148,1.206307531,1.055570679,1.282704015,1.28804324,1.679042903,0.900562536,1.274246312,1.402456159,1.21198719,1.101506396,1.324307406,1.014428157,1.743274565,1.045826032,1.689648531,1.348453355,1.55558876,1.328067381,1.537491201,-0.158809975,1.466573697,0.827824687,1.226241271,1.293270813,1.123658089,0.985505624,1.098443209,1.546748017,1.771291639,0.914374232,1.247209821,1.262350421,1.189925944,1.105959354,1.217725707,1.651578451,1.508034541,1.182250846,1.573438894,1.117771155,1.301325246,1.4371882,0.510679741,-0.955708921,-1.047833185,2.407080631,1.222867223,1.497094824,1.9265081,2.71944825,2.893812908,1.319384086,1.460088744,-0.782338797,-0.556824715,-0.282015066,0.133605762,-0.255834031,0.324715443,-0.517407352,-0.660153373
Group II,15-104,0.535403817,0.571125242,0.580189179,0.550337637,0.481308658,0.501215548,0.449803139,0.575852354,0.592824197,0.626503215,0.593980616,0.573831109,0.600431725,0.66337029,0.738250231,0.711139724,0.593243866,0.574734689,0.484171887,0.523027818,0.58889194,0.584982896,0.484247234,0.628338301,0.445961033,0.474412581,0.365652266,0.526324651,0.459989211,0.499477524,0.550341845,0.649371791,0.342164201,0.31189823,0.372400419,0.39270242,0.371655285,0.326095422,0.536400215,0.462353575,0.319433353,0.142303544,-0.068173205,-0.39338554,-0.869481223,-0.652243797,1.70692483,1.31402185,0.630663656,0.68682737,0.434620408,0.572600037,0.482912183,0.332970868,-0.03866899,0.366207683,0.551309345,0.6123211,0.396924039,0.583620325,0.520778501,0.206003939,-0.206819629,0.346450776,0.603848942,0.140850257,-0.209676431,0.19199264,0.254161368,-0.226147754,0.114449341,-0.0967683,0.651086918,0.788431886,0.69878028,0.714554694,0.561532441,0.50773394,0.073527306,0.710998802,0.5774197,0.786428808,0.763650145,0.759986586,0.584678213,0.482997628,0.420684067,0.413722468,0.117096986,0.917992697,0.293566142,-0.098120546,-0.152735647,-0.489351792,-0.361027821,-0.809781624,0.199038251,0.252169086,0.129839243,-0.211799172,1.507564521,0.815521003,1.166943079,0.707517705,-0.196514191,-0.385408668,0.297097486,-0.390143299,0.081148739,0.032242101,0.278295672,0.064491907
